medcodeid,term,weight,height,bmi,bmicat
11905011000006114,o/e - weight,9,,,
11905141000006112,o/e - height,,9,,
11923361000006119,finding of body mass index,,,9,
125571000006118,static weight gain pregnancy,9,,,
13638231000006115,self reported body weight,9,,,
1737991000000117,pattern of weight gain,9,,,
1749511000006118,pattern of weight gain,9,,,
1753271000006112,"risk to health associated with overweight and obesity, at no increased risk",,,,overweight 25-29
1753281000006110,"risk to health associated with overweight and obesity, at increased risk",,,,overweight 25-29
1753291000006113,"risk to health associated with overweight and obesity, at high risk",,,,obese 30+
1753301000006114,"risk to health associated with overweight and obesity, at very high risk",,,,obese 30+
1910901000006116,estimated weight,9,,,
1910921000006114,estimated height,,9,,
2010161000006112,weight reduction drug therapy - orlistat,9,,,
252194018,abnormal weight gain,9,,,
253866018,height and weight,9,9,,
2642891000006110,weight gain,9,,,
267001000006118,"oedema or excessive weight gain in pregnancy, delivered",9,,,
267011000006115,"oedema or excessive weight gain in pregnancy, unspecified",9,,,
267021000006111,oedema/excess weight gain preg - delivered + postnatal compl,9,,,
267031000006114,oedema/excessive weight gain in preg+postnatal complication,9,,,
2729021000006118,measuring height of patient,,9,,
2934311000006118,weight,9,,,
305936016,oedema or excessive weight gain in pregnancy nos,9,,,
3070611000006119,normal bmi (body mass index),,,9,normal 18.5-24.9
3087271000006119,poor weight gain,9,,,
317236017,[d]abnormal weight gain,9,,,
3203281000006116,normal weight,9,,,
3315711000006110,body height measure,,9,,
3315721000006119,body height,,9,,
3484791000006113,weight: body mass,9,,,
3484801000006114,bmi - body mass index,,,9,
3514400010,current body weight,9,,,
3667431000006112,decrease in height,,9,,
3976301000006116,heavy (weight),9,,,
4150511000006113,weight finding,9,,,
4551671000006115,on examination - height,,9,,
4551681000006117,o/e - height greater than 20% below average,,9,,
4551701000006119,o/e - height 10-20% below average,,9,,
4551761000006118,o/e - height greater than 20% over average,,9,,
4551811000006113,on examination - weight,9,,,
4551821000006117,o/e - weight greater than 20% below ideal,9,,,
