medcodeid,cleansedreadcode,term,cancer_cprd
11925691000006115,,"malignant neoplasm of lip unspecified, inner aspect",1
11925701000006115,,"malignant neoplasm of lip, unspecified, lipstick area",1
12704601000006112,,malignant tumour of upper labial mucosa,1
4745221000006116,,malignant tumour of oral aspect of upper lip,1
4745231000006118,,malignant tumour of inner aspect of upper lip,1
4745241000006111,,malignant tumour of buccal aspect of upper lip,1
4745251000006113,,malig tumour of mucosa of upper lip,1
4745261000006110,,malignant tumor of upper labial mucosa,1
4745301000006118,,malig tumor of mucosa of upper lip,1
4745311000006115,,malignant tumor of buccal aspect of upper lip,1
4745321000006111,,malignant tumor of inner aspect of upper lip,1
4745331000006114,,malignant tumor of oral aspect of upper lip,1
4745341000006116,,malignant tumour of fraenum of upper lip,1
4745351000006119,,malignant tumor of frenum of upper lip,1
4745381000006110,,malignant tumour of fraenum of lower lip,1
4745391000006113,,malignant tumor of frenum of lower lip,1
4745411000006113,,malignant tumour of labial mucosa,1
4745421000006117,,malignant tumor of labial mucosa,1
4745441000006112,,malignant tumor of buccal aspect of lip,1
4745451000006114,,malignant tumor of mucosa of lip,1
4745461000006111,,malignant tumor of oral aspect of lip,1
4745471000006116,,malignant tumor of inner aspect of lip,1
4745481000006118,,malignant tumour of inner aspect of lip,1
4745491000006115,,malignant tumour of buccal aspect of lip,1
4745501000006111,,malignant tumour of oral aspect of lip,1
4745511000006114,,malignant tumour of mucosa of lip,1
4745861000006114,,malignant tumour of upper labial sulcus,1
4745881000006116,,malignant tumor of upper labial sulcus,1
4745891000006118,,malignant tumour of lower labial sulcus,1
4745901000006119,,malignant tumor of lower labial sulcus,1
5526171000006110,,malignant tumour of mucosa of lower lip,1
5526181000006113,,malignant tumour of oral aspect of lower lip,1
5526191000006111,,malignant tumour of inner aspect of lower lip,1
5526201000006114,,malignant tumour of buccal aspect of lower lip,1
5526211000006112,,malignant tumor of lower labial mucosa,1
5526221000006116,,malignant tumor of buccal aspect of lower lip,1
5526231000006118,,malignant tumor of inner aspect of lower lip,1
5526241000006111,,malignant tumor of oral aspect of lower lip,1
5526251000006113,,malignant tumor of mucosa of lower lip,1
5572871000006116,,malignant tumour of lipstick area of lip,1
5572881000006118,,malignant tumor of lipstick area of lip,1
5911401000006116,,malignant tumour of fraenum of lip,1
5911411000006118,,malignant tumor of frenum of lip,1
6242811000006116,,malignant tumor of lip,1
6242821000006112,,ca - cancer of lip,1
6242831000006110,,cancer of lip,1
6243491000006117,,malignant tumor of vermilion border of upper lip,1
6243501000006113,,malignant tumour of lipstick area of upper lip,1
6243511000006111,,malignant tumor of lipstick area of upper lip,1
6243541000006110,,malignant tumor of vermilion border of lower lip,1
6243551000006112,,malignant tumour of lipstick area of lower lip,1
6243561000006114,,malignant tumor of lipstick area of lower lip,1
6243591000006118,,malignant tumour of commissure of lip,1
6243601000006114,,malignant tumor of commissure of lip,1
6243611000006112,,malignant tumour of labial commissure,1
6243621000006116,,malignant tumor of labial commissure,1
6968521000006115,,malignant tumor of vermilion border of lip,1
724891000006113,B00..00,malignant neoplasm of lip,1
403771011,B00..11,carcinoma of lip,1
879681000006114,B00..99,lip carcinoma,1
1228504019,B000.00,"malignant neoplasm of upper lip, vermilion border",1
720801000006112,B000000,"malignant neoplasm of upper lip, external",1
288350019,B000100,"malignant neoplasm of upper lip, lipstick area",1
288351015,B000z00,"malignant neoplasm of upper lip, vermilion border nos",1
724421000006114,B001.00,"malignant neoplasm of lower lip, vermilion border",1
288354011,B001000,"malignant neoplasm of lower lip, external",1
1228506017,B001100,"malignant neoplasm of lower lip, lipstick area",1
288355012,B001z00,"malignant neoplasm of lower lip, vermilion border nos",1
288363013,B002.00,"malignant neoplasm of upper lip, inner aspect",1
720791000006111,B002000,"malignant neoplasm of upper lip, buccal aspect",1
288372017,B002100,"malignant neoplasm of upper lip, frenulum",1
288364019,B002200,"malignant neoplasm of upper lip, mucosa",1
288362015,B002300,"malignant neoplasm of upper lip, oral aspect",1
288377011,B002z00,"malignant neoplasm of upper lip, inner aspect nos",1
406399011,B003.00,"malignant neoplasm of lower lip, inner aspect",1
288380012,B003000,"malignant neoplasm of lower lip, buccal aspect",1
288382016,B003100,"malignant neoplasm of lower lip, frenulum",1
724401000006116,B003200,"malignant neoplasm of lower lip, mucosa",1
724411000006118,B003300,"malignant neoplasm of lower lip, oral aspect",1
288387010,B003z00,"malignant neoplasm of lower lip, inner aspect nos",1
288388017,B004.00,"malignant neoplasm of lip unspecified, inner aspect",1
288390016,B004100,"malignant neoplasm of lip unspecified, frenulum",1
288391017,B004200,"malignant neoplasm of lip unspecified, mucosa",1
288393019,B004300,"malignant neoplasm of lip, oral aspect",1
288403012,B004z00,"malignant neoplasm of lip, inner aspect nos",1
726351000006116,B005.00,malignant neoplasm of commissure of lip,1
288404018,B006.00,malignant neoplasm of overlapping lesion of lip,1
453301018,B007.00,"malignant neoplasm of lip, unspecified",1
288406016,B00y.00,malignant neoplasm of other sites of lip,1
288407013,B00z.00,malignant neoplasm of vermilion border of lip unspecified,1
288408015,B00z000,"malignant neoplasm of lip, unspecified, external",1
288409011,B00z100,"malignant neoplasm of lip, unspecified, lipstick area",1
288410018,B00zz00,"malignant neoplasm of lip, vermilion border nos",1
288460012,B051200,malignant neoplasm of upper labial sulcus,1
288465019,B051300,malignant neoplasm of lower labial sulcus,1
4745681000006115,,malignant tumour of junctional zone of tongue,1
4745691000006117,,malignant tumor of junctional zone of tongue,1
6243291000006116,,malignant tumour of anterior two-thirds of tongue,1
6243301000006115,,malignant tumor of anterior two-thirds of tongue,1
727381000006110,B010.00,malignant neoplasm of base of tongue,1
1228509012,B010.11,malignant neoplasm of posterior third of tongue,1
288411019,B010000,malignant neoplasm of base of tongue dorsal surface,1
288419017,B012.00,"malignant neoplasm of tongue, tip and lateral border",1
288430019,B014.00,malignant neoplasm of anterior 2/3 of tongue unspecified,1
288433017,B015.00,"malignant neoplasm of tongue, junctional zone",1
288435012,B01z.00,malignant neoplasm of tongue nos,1
11925531000006118,,malignant neoplasm of ventral tongue surface nos,1
12762221000006113,,malignant tumor of base of tongue,1
4029361000006119,,primary malignant neoplasm of ventral surface of tongue,1
4170281000006118,,overlapping malignant neoplasm of tongue,1
