medcodeid,observations,term,emiscodecategoryid,description_lower,bl_dm_type,bl_dm
302011,4123,Diabetic peripheral angiopathy,32,diabetic peripheral angiopathy,Unclear,1
9093013,439628,Diabetic retinopathy,32,diabetic retinopathy,Unclear,1
10928019,35,Diabetes mellitus associated with genetic syndrome,32,diabetes mellitus associated with genetic syndrome,Unclear,1
15518018,3255,Secondary diabetes mellitus,32,secondary diabetes mellitus,Unclear,1
19931010,1942,Brittle diabetes,27,brittle diabetes,Unclear,1
65526011,788,Diabetic amyotrophy,32,diabetic amyotrophy,Unclear,1
73294018,9530,Diabetic cataract,32,diabetic cataract,Unclear,1
73466011,146587,Non-insulin dependent diabetes mellitus,32,non-insulin dependent diabetes mellitus,Type 2 DM,1
77727018,73272,Insulin dependent diabetes mellitus,32,insulin dependent diabetes mellitus,Type 1 DM,1
82373015,2308,Diabetic polyneuropathy,32,diabetic polyneuropathy,Unclear,1
96244016,2,Protein-deficient diabetes mellitus,32,protein-deficient diabetes mellitus,Unclear,1
98476015,118679,Proliferative diabetic retinopathy,32,proliferative diabetic retinopathy,Unclear,1
121589010,6140775,Diabetes mellitus,32,diabetes mellitus,Unclear,1
125705011,9,Diabetes mellitus due to insulin receptor antibodies,32,diabetes mellitus due to insulin receptor antibodies,Unclear,1
178798017,5240,Diabetic ketoacidosis without coma,32,diabetic ketoacidosis without coma,Unclear,1
178800012,70,Insulin coma,32,insulin coma,Unclear,1
197761014,27310806,Type 2 diabetes mellitus,32,type 2 diabetes mellitus,Type 2 DM,1
197984010,2715960,Type 1 diabetes mellitus,32,type 1 diabetes mellitus,Type 1 DM,1
205225016,39038,Diabetic nephropathy,32,diabetic nephropathy,Unclear,1
216195015,92016,Diabetes care by hospital only,1,diabetes care by hospital only,Unclear,1
216201011,7789788,Diabetic retinopathy screening,1,diabetic retinopathy screening,Unclear,1
250447011,168377,Diabetic diet,17,diabetic diet,Unclear,1
251187019,9402,Diabetic association member,17,diabetic association member,Unclear,1
251591016,192064,H/O: diabetes mellitus,32,h/o: diabetes mellitus,Unclear,1
251892015,14782,H/O: insulin therapy,32,h/o: insulin therapy,Unclear,1
257623014,105243,Hb. A1C - diabetic control,11,hb. a1c - diabetic control,Unclear,1
259365016,9308,Glucose tolerance test indicates diabetes mellitus,34,glucose tolerance test indicates diabetes mellitus,Unclear,1
264676010,7878800,Diabetic monitoring,1,diabetic monitoring,Unclear,1
264677018,128426,Initial diabetic assessment,1,initial diabetic assessment,Unclear,1
264678011,2127054,Follow-up diabetic assessment,1,follow-up diabetic assessment,Unclear,1
264679015,2025163,Diabetic on diet only,1,diabetic on diet only,Unclear,1
264681018,5703978,Diabetic on oral treatment,1,diabetic on oral treatment,Unclear,1
264682013,1605983,Diabetic on insulin,1,diabetic on insulin,Unclear,1
