prodcodeid,smokstatus
10645641000033115,current/ex-smoker
10645741000033112,current/ex-smoker
11483241000033116,current/ex-smoker
11483341000033114,current/ex-smoker
12332041000033116,current/ex-smoker
12332141000033117,current/ex-smoker
12410241000033110,current/ex-smoker
12410341000033117,current/ex-smoker
12591841000033113,current/ex-smoker
12634441000033114,current/ex-smoker
13281641000033114,current/ex-smoker
13281941000033119,current/ex-smoker
13422041000033118,current/ex-smoker
13739641000033110,current/ex-smoker
1745241000033119,current/ex-smoker
1745341000033112,current/ex-smoker
1745441000033118,current/ex-smoker
1745541000033117,current/ex-smoker
1745641000033116,current/ex-smoker
1745741000033113,current/ex-smoker
1745841000033115,current/ex-smoker
1745941000033111,current/ex-smoker
1746041000033118,current/ex-smoker
1768341000033114,current/ex-smoker
2003541000033113,current/ex-smoker
2003641000033114,current/ex-smoker
2131841000033111,current/ex-smoker
2131941000033115,current/ex-smoker
2280441000033111,current/ex-smoker
2280541000033112,current/ex-smoker
2280641000033113,current/ex-smoker
2587141000033110,current/ex-smoker
2653941000033119,current/ex-smoker
2654041000033117,current/ex-smoker
2724241000033117,current/ex-smoker
2724341000033110,current/ex-smoker
2724441000033116,current/ex-smoker
2729241000033116,current/ex-smoker
2729341000033114,current/ex-smoker
2729441000033115,current/ex-smoker
2795441000033114,current/ex-smoker
2795541000033110,current/ex-smoker
2795641000033111,current/ex-smoker
2795741000033119,current/ex-smoker
2975141000033119,current/ex-smoker
2975241000033114,current/ex-smoker
2975341000033116,current/ex-smoker
2975441000033110,current/ex-smoker
3139241000033116,current/ex-smoker
3907341000033114,current/ex-smoker
3907441000033115,current/ex-smoker
3907541000033119,current/ex-smoker
3907641000033118,current/ex-smoker
3907741000033110,current/ex-smoker
3907841000033117,current/ex-smoker
3907941000033113,current/ex-smoker
3908041000033111,current/ex-smoker
3951741000033112,current/ex-smoker
3951841000033119,current/ex-smoker
3996741000033111,current/ex-smoker
3996841000033118,current/ex-smoker
3996941000033114,current/ex-smoker
3997041000033110,current/ex-smoker
3997141000033114,current/ex-smoker
4011741000033112,current/ex-smoker
4186541000033117,current/ex-smoker
4186641000033116,current/ex-smoker
4188441000033119,current/ex-smoker
4213341000033116,current/ex-smoker
4213441000033110,current/ex-smoker
4213541000033111,current/ex-smoker
4270341000033116,current/ex-smoker
4270441000033110,current/ex-smoker
4270541000033111,current/ex-smoker
4419441000033114,current/ex-smoker
4419541000033110,current/ex-smoker
4575341000033119,current/ex-smoker
4816941000033118,current/ex-smoker
4817541000033110,current/ex-smoker
4817841000033112,current/ex-smoker
4817941000033116,current/ex-smoker
4818041000033118,current/ex-smoker
4913541000033110,current/ex-smoker
4958041000033117,current/ex-smoker
4958141000033118,current/ex-smoker
4958241000033113,current/ex-smoker
5073041000033111,current/ex-smoker
5073141000033110,current/ex-smoker
5100141000033115,current/ex-smoker
5100241000033110,current/ex-smoker
5265441000033118,current/ex-smoker
5265541000033117,current/ex-smoker
5895441000033110,current/ex-smoker
5895541000033111,current/ex-smoker
6036941000033117,current/ex-smoker
6117641000033110,current/ex-smoker
6117741000033118,current/ex-smoker
6117841000033111,current/ex-smoker
6426941000033111,current/ex-smoker
6430541000033117,current/ex-smoker
6440541000033118,current/ex-smoker
6440641000033117,current/ex-smoker
8056141000033112,current/ex-smoker
8056241000033117,current/ex-smoker
8232641000033114,current/ex-smoker
8561241000033118,current/ex-smoker
8561341000033111,current/ex-smoker
8614641000033113,current/ex-smoker
9599141000033110,current/ex-smoker
9603241000033114,current/ex-smoker
968641000033113,current/ex-smoker
968741000033116,current/ex-smoker
9693741000033118,current/ex-smoker
9693841000033111,current/ex-smoker
970441000033115,current/ex-smoker
972641000033119,current/ex-smoker
973141000033117,current/ex-smoker
973241000033112,current/ex-smoker
973341000033119,current/ex-smoker
977841000033116,current/ex-smoker
977941000033112,current/ex-smoker
978041000033110,current/ex-smoker
