prodcodeid,formulation,routeofadministration,substancestrength,drugissues,productname,termfromemis,drugsubstancename,drug_acei
10645041000033114,Oral solution,Oral,1.000mg/1.000ml,13770,lisinopril 5mg/5ml oral solution sugar free,lisinopril 5mg/5ml oral solution sugar free,lisinopril,1
1065941000033115,Tablet/ Oral Tablet,Oral,15.000mg,191,perdix 15mg tablets,perdix 15mg tablets (ucb pharma ltd),moexipril hydrochloride,1
1066041000033113,Tablet/ Oral Tablet,Oral,7.500mg,282,perdix 7.5mg tablets,perdix 7.5mg tablets (ucb pharma ltd),moexipril hydrochloride,1
1067841000033115,Tablet/ Oral Tablet,Oral,2.000mg,12161294,perindopril erbumine 2mg tablets,perindopril erbumine 2mg tablets,perindopril erbumine,1
1067941000033111,Tablet/ Oral Tablet,Oral,4.000mg,21408773,perindopril erbumine 4mg tablets,perindopril erbumine 4mg tablets,perindopril erbumine,1
10841000033119,Tablet/ Oral Tablet,Oral,12.500mg,18687,acepril 12.5mg tablets,acepril 12.5mg tablets (bristol-myers squibb pharmaceuticals ltd),captopril,1
10941000033110,Tablet/ Oral Tablet,Oral,25.000mg,31231,acepril 25mg tablets,acepril 25mg tablets (bristol-myers squibb pharmaceuticals ltd),captopril,1
11041000033117,Tablet/ Oral Tablet,Oral,50.000mg,11998,acepril 50mg tablets,acepril 50mg tablets (bristol-myers squibb pharmaceuticals ltd),captopril,1
11241000033113,Tablet/ Oral Tablet,Oral,12.500mg + 10.000mg,19549,accuretic 10mg/12.5mg tablets,accuretic 10mg/12.5mg tablets (pfizer ltd),hydrochlorothiazide/ quinapril hydrochloride,1
1149241000033111,Tablet/ Oral Tablet,Oral,5.000mg,160884,quinapril 5mg tablets,quinapril 5mg tablets,quinapril hydrochloride,1
1149341000033118,Tablet/ Oral Tablet,Oral,10.000mg,293466,quinapril 10mg tablets,quinapril 10mg tablets,quinapril hydrochloride,1
1149441000033112,Tablet/ Oral Tablet,Oral,20.000mg,374391,quinapril 20mg tablets,quinapril 20mg tablets,quinapril hydrochloride,1
1149541000033113,Tablet/ Oral Tablet,Oral,40.000mg,259822,quinapril 40mg tablets,quinapril 40mg tablets,quinapril hydrochloride,1
1151341000033117,Capsule/ Oral capsule,Oral,1.250mg,14196332,ramipril 1.25mg capsules,ramipril 1.25mg capsules,ramipril,1
1151441000033111,Capsule/ Oral capsule,Oral,2.500mg,34886773,ramipril 2.5mg capsules,ramipril 2.5mg capsules,ramipril,1
1151541000033112,Capsule/ Oral capsule,Oral,5.000mg,38998006,ramipril 5mg capsules,ramipril 5mg capsules,ramipril,1
11641000033111,Tablet/ Oral Tablet,Oral,40.000mg,4542,accupro 40mg tablets,accupro 40mg tablets (pfizer ltd),quinapril hydrochloride,1
13141000033119,Tablet/ Oral Tablet,Oral,50.000mg + 25.000mg,20226,acezide 25mg/50mg tablets,acezide 25mg/50mg tablets (bristol-myers squibb pharmaceuticals ltd),captopril/ hydrochlorothiazide,1
13241000033114,Tablet/ Oral Tablet,Oral,10.000mg,27632,accupro 10mg tablets,accupro 10mg tablets (pfizer ltd),quinapril hydrochloride,1
13341000033116,Tablet/ Oral Tablet,Oral,20.000mg,25627,accupro 20mg tablets,accupro 20mg tablets (pfizer ltd),quinapril hydrochloride,1
13441000033110,Tablet/ Oral Tablet,Oral,5.000mg,21936,accupro 5mg tablets,accupro 5mg tablets (pfizer ltd),quinapril hydrochloride,1
13443441000033115,Tablet/ Oral Tablet,Oral,12.500mg + 10.000mg,35,lisoretic 10mg/12.5mg tablets,lisoretic 10mg/12.5mg tablets (bristol laboratories ltd),hydrochlorothiazide/ lisinopril,1
13443541000033119,Tablet/ Oral Tablet,Oral,12.500mg + 20.000mg,23,lisoretic 20mg/12.5mg tablets,lisoretic 20mg/12.5mg tablets (bristol laboratories ltd),hydrochlorothiazide/ lisinopril,1
13740241000033119,Tablet/ Oral Tablet,,20.000mg,1,enalapril 20mg tablets,enalapril 20mg tablets (imported),enalapril maleate,1
1387341000033114,Tablet/ Oral Tablet,Oral,10.000mg,71230,staril 10mg tablets,staril 10mg tablets (bristol-myers squibb pharmaceuticals ltd),fosinopril sodium,1
1387441000033115,Tablet/ Oral Tablet,Oral,20.000mg,44348,staril 20mg tablets,staril 20mg tablets (bristol-myers squibb pharmaceuticals ltd),fosinopril sodium,1
1406341000033117,Modified-release capsule,Oral,2.000mg + 180.000mg,17183,tarka modified-release capsules,tarka modified-release capsules (abbott laboratories ltd),trandolapril/ verapamil hydrochloride,1
1453941000033115,Capsule/ Oral capsule,Oral,1.000mg,225673,trandolapril 1mg capsules,trandolapril 1mg capsules,trandolapril,1
1454041000033118,Capsule/ Oral capsule,Oral,2.000mg,661314,trandolapril 2mg capsules,trandolapril 2mg capsules,trandolapril,1
1454141000033119,Capsule/ Oral capsule,Oral,500.000microgram,79737,trandolapril 500microgram capsules,trandolapril 500microgram capsules,trandolapril,1
1455541000033110,Capsule/ Oral capsule,Oral,1.250mg,21977,tritace 1.25mg capsules,tritace 1.25mg capsules (aventis pharma),ramipril,1
1455641000033111,Capsule/ Oral capsule,Oral,2.500mg,37363,tritace 2.5mg capsules,tritace 2.5mg capsules (sanofi),ramipril,1
1455741000033119,Capsule/ Oral capsule,Oral,5.000mg,49138,tritace 5mg capsules,tritace 5mg capsules (sanofi),ramipril,1
1503441000033113,Tablet/ Oral Tablet,Oral,5.000mg,5400,vascace 5mg tablets,vascace 5mg tablets (roche products ltd),cilazapril monohydrate,1
1504641000033112,Tablet/ Oral Tablet,Oral,1.000mg,8792,vascace 1mg tablets,vascace 1mg tablets (roche products ltd),cilazapril monohydrate,1
1504741000033115,Tablet/ Oral Tablet,Oral,2.500mg,8435,vascace 2.5mg tablets,vascace 2.5mg tablets (roche products ltd),cilazapril monohydrate,1
1504941000033117,Tablet/ Oral Tablet,Oral,500.000microgram,2701,vascace 500microgram tablets,vascace 500microgram tablets (roche products ltd),cilazapril monohydrate,1
