prodcodeid,dmdid,formulation,routeofadministration,substancestrength,bnfcode,substance,productname,termfromemis,sub_acarbose,sub_first_gen_su,sub_second_gen_su,sub_third_gen_su,sub_dpp4i,sub_sglt2i,sub_glp1,sub_glp2,sub_guar,sub_mtf,sub_tzd,sub_glin,sub_ins,sub_mtf_dpp4i,sub_mtf_tzd,sub_mtf_sglt2i,sub_ins_glp1,sub_3su_tzd,sub_sglt2i_dpp4i,drug_antidiabetic_group
10042541000033117,,,,,,,,exenatide  prolonged release suspension for injection  2 mg device,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,glp1
10042641000033116,,,,,,,,bydureon  prolonged release suspension for injection  2 mg pen,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,glp1
10043341000033116,28420711000001107,Modified-release tablet,Oral,30.000mg,,gliclazide,vamju 30mg modified-release tablets,vamju 30mg modified-release tablets (advanz pharma),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,second_gen_su
10043441000033110,28420911000001109,Modified-release tablet,Oral,60.000mg,,gliclazide,vamju 60mg modified-release tablets,vamju 60mg modified-release tablets (advanz pharma),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,second_gen_su
10044541000033113,28279611000001109,Solution for injection,Subcutaneous,100.000unit/1.000ml + 100.000unit/1.000ml + 3.600mg/1.000ml,06010203,insulin degludec/ liraglutide,insulin degludec 100units/ml / liraglutide 3.6mg/ml solution for injection 3ml pre-filled disposable devices,insulin degludec 100units/ml / liraglutide 3.6mg/ml solution for injection 3ml pre-filled disposable devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ins_glp
10044641000033114,28054311000001106,Solution for injection,Subcutaneous,100.000unit/1.000ml + 100.000unit/1.000ml + 3.600mg/1.000ml,,insulin degludec/ liraglutide,xultophy 100units/ml / 3.6mg/ml solution for injection 3ml pre-filled pens,xultophy 100units/ml / 3.6mg/ml solution for injection 3ml pre-filled pens (novo nordisk ltd),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ins_glp
1017141000033110,,,,,,,,orabet  tablets  500 mg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,mtf
1017241000033115,,,,,,,,orabet  tablets  850 mg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,mtf
10207841000033118,28789611000001108,Solution for injection,Subcutaneous,1.500mg/1.000ml,06010203,dulaglutide,dulaglutide 0.75mg/0.5ml solution for injection pre-filled disposable devices,dulaglutide 0.75mg/0.5ml solution for injection pre-filled disposable devices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,glp1
10207941000033114,28789711000001104,Solution for injection,Subcutaneous,3.000mg/1.000ml,06010203,dulaglutide,dulaglutide 1.5mg/0.5ml solution for injection pre-filled disposable devices,dulaglutide 1.5mg/0.5ml solution for injection pre-filled disposable devices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,glp1
10208041000033112,28461011000001109,Solution for injection,Subcutaneous,1.500mg/1.000ml,,dulaglutide,trulicity 0.75mg/0.5ml solution for injection pre-filled pens,trulicity 0.75mg/0.5ml solution for injection pre-filled pens (eli lilly and company ltd),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,glp1
10208141000033111,28462311000001103,Solution for injection,Subcutaneous,3.000mg/1.000ml,,dulaglutide,trulicity 1.5mg/0.5ml solution for injection pre-filled pens,trulicity 1.5mg/0.5ml solution for injection pre-filled pens (eli lilly and company ltd),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,glp1
10251341000033112,28940811000001104,Tablet/ Oral Tablet,Oral,15.000mg,,pioglitazone hydrochloride,glidipion 15mg tablets,glidipion 15mg tablets (actavis uk ltd),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tzd
10252641000033111,28989711000001106,Solution for injection,Subcutaneous,200.000unit/1.000ml + 200.000unit/1.000ml,06010101,insulin lispro,insulin lispro 200units/ml solution for injection 3ml pre-filled disposable devices,insulin lispro 200units/ml solution for injection 3ml pre-filled disposable devices,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ins
10252741000033119,28926811000001100,Solution for injection,Subcutaneous,200.000unit/1.000ml + 200.000unit/1.000ml,,insulin lispro,humalog kwikpen 200units/ml solution for injection 3ml pre-filled pens,humalog kwikpen 200units/ml solution for injection 3ml pre-filled pens (eli lilly and company ltd),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ins
10259341000033113,28975611000001105,,,,,,novopen 5 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units,novopen 5 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units blue (novo nordisk ltd),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ins
10259441000033119,28975811000001109,,,,,,novopen 5 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units,novopen 5 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units silver (novo nordisk ltd),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ins
10259541000033118,28974311000001104,,,,,,juniorstar hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units,juniorstar hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units blue (sanofi),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ins
10259641000033117,28974511000001105,,,,,,juniorstar hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units,juniorstar hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units red (sanofi),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ins
10259741000033114,28974711000001100,,,,,,juniorstar hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units,juniorstar hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units silver (sanofi),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ins
10336941000033112,29742811000001105,Tablet/ Oral Tablet,Oral,15.000mg,,pioglitazone hydrochloride,diabiom 15mg tablets,diabiom 15mg tablets (tillomed laboratories ltd),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tzd
10337041000033113,29743011000001108,Tablet/ Oral Tablet,Oral,30.000mg,,pioglitazone hydrochloride,diabiom 30mg tablets,diabiom 30mg tablets (tillomed laboratories ltd),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tzd
10494241000033110,29903611000001103,Solution for injection,Subcutaneous,300.000unit/1.000ml + 300.000unit/1.000ml,06010102,insulin glargine,insulin glargine 300units/ml solution for injection 1.5ml pre-filled disposable devices,insulin glargine 300units/ml solution for injection 1.5ml pre-filled disposable devices,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ins
10494441000033111,29866811000001104,Solution for injection,Subcutaneous,300.000unit/1.000ml + 300.000unit/1.000ml,,insulin glargine,toujeo 300units/ml solution for injection 1.5ml pre-filled solostar pens,toujeo 300units/ml solution for injection 1.5ml pre-filled solostar pens (sanofi),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ins
10598841000033113,30012111000001105,Modified-release tablet,Oral,750.000mg,,metformin hydrochloride,glucient sr 750mg tablets,glucient sr 750mg tablets (consilient health ltd),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,mtf
10598941000033117,30012311000001107,Modified-release tablet,Oral,1.000gram,,metformin hydrochloride,glucient sr 1000mg tablets,glucient sr 1000mg tablets (consilient health ltd),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,mtf
10600641000033118,30172211000001102,Solution for injection,Subcutaneous,100.000unit/1.000ml + 100.000unit/1.000ml,,insulin glargine,abasaglar 100units/ml solution for injection 3ml cartridges,abasaglar 100units/ml solution for injection 3ml cartridges (eli lilly and company ltd),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ins
10600741000033110,30171811000001105,Solution for injection,Subcutaneous,100.000unit/1.000ml + 100.000unit/1.000ml,,insulin glargine,abasaglar kwikpen 100units/ml solution for injection 3ml pre-filled pens,abasaglar kwikpen 100units/ml solution for injection 3ml pre-filled pens (eli lilly and company ltd),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ins
10614141000033116,30318411000001104,Tablet/ Oral Tablet,Oral,5.000mg + 850.000mg,06010203,empagliflozin/ metformin hydrochloride,empagliflozin 5mg / metformin 850mg tablets,empagliflozin 5mg / metformin 850mg tablets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,mtf_sglt2i
10614241000033111,30318311000001106,Tablet/ Oral Tablet,Oral,5.000mg + 1.000gram,06010203,empagliflozin/ metformin hydrochloride,empagliflozin 5mg / metformin 1g tablets,empagliflozin 5mg / metformin 1g tablets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,mtf_sglt2i
10614341000033118,30318211000001103,Tablet/ Oral Tablet,Oral,12.500mg + 850.000mg,06010203,empagliflozin/ metformin hydrochloride,empagliflozin 12.5mg / metformin 850mg tablets,empagliflozin 12.5mg / metformin 850mg tablets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,mtf_sglt2i
10614441000033112,30318111000001109,Tablet/ Oral Tablet,Oral,12.500mg + 1.000gram,06010203,empagliflozin/ metformin hydrochloride,empagliflozin 12.5mg / metformin 1g tablets,empagliflozin 12.5mg / metformin 1g tablets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,mtf_sglt2i
10614541000033113,30173411000001107,Tablet/ Oral Tablet,Oral,5.000mg + 850.000mg,,empagliflozin/ metformin hydrochloride,synjardy 5mg/850mg tablets,synjardy 5mg/850mg tablets (boehringer ingelheim ltd),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,mtf_sglt2i
10614641000033114,30174111000001100,Tablet/ Oral Tablet,Oral,5.000mg + 1.000gram,,empagliflozin/ metformin hydrochloride,synjardy 5mg/1000mg tablets,synjardy 5mg/1000mg tablets (boehringer ingelheim ltd),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,mtf_sglt2i
10614741000033117,30175011000001102,Tablet/ Oral Tablet,Oral,12.500mg + 850.000mg,,empagliflozin/ metformin hydrochloride,synjardy 12.5mg/850mg tablets,synjardy 12.5mg/850mg tablets (boehringer ingelheim ltd),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,mtf_sglt2i
