prodcodeid,formulation,routeofadministration,substancestrength,drugissues,productname,termfromemis,drugsubstancename,drug_loop_diuretic
10713941000033113,Oral suspension,Oral,1.000mg/1.000ml,15,bumetanide 5mg/5ml oral suspension,bumetanide 5mg/5ml oral suspension,bumetanide,1
1449841000033111,Tablet/ Oral Tablet,Oral,10.000mg,2957,torem 10mg tablets,torem 10mg tablets (viatris uk healthcare ltd),torasemide,1
1449941000033115,Tablet/ Oral Tablet,Oral,2.500mg,2414,torem 2.5mg tablets,torem 2.5mg tablets (viatris uk healthcare ltd),torasemide,1
1450041000033112,Tablet/ Oral Tablet,Oral,5.000mg,7388,torem 5mg tablets,torem 5mg tablets (viatris uk healthcare ltd),torasemide,1
1450141000033111,Tablet/ Oral Tablet,Oral,10.000mg,59282,torasemide 10mg tablets,torasemide 10mg tablets,torasemide,1
1450241000033116,Tablet/ Oral Tablet,Oral,2.500mg,31771,torasemide 2.5mg tablets,torasemide 2.5mg tablets,torasemide,1
1450341000033114,Tablet/ Oral Tablet,Oral,5.000mg,85720,torasemide 5mg tablets,torasemide 5mg tablets,torasemide,1
1611441000033117,Tablet/ Oral Tablet,Oral,5.000mg + 40.000mg,1866,froop co 5mg/40mg tablets,froop co 5mg/40mg tablets (ashbourne pharmaceuticals ltd),amiloride hydrochloride/ furosemide,1
167341000033118,,,,839,,bumetanide  injection  500 micrograms/ml,,1
169041000033112,Oral solution,Oral,200.000microgram/1.000ml,38907,bumetanide 1mg/5ml oral solution sugar free,bumetanide 1mg/5ml oral solution sugar free,bumetanide,1
171941000033116,,,,75497,,bumetanide k  tablets  ,,1
172341000033112,Tablet/ Oral Tablet,Oral,5.000mg + 1.000mg,401874,burinex a 5mg/1mg tablets,burinex a 5mg/1mg tablets (leo pharma),amiloride hydrochloride/ bumetanide,1
172441000033118,Tablet/ Oral Tablet,Oral,1.000mg,10488395,bumetanide 1mg tablets,bumetanide 1mg tablets,bumetanide,1
172541000033117,Tablet/ Oral Tablet,Oral,5.000mg,301664,bumetanide 5mg tablets,bumetanide 5mg tablets,bumetanide,1
172741000033113,Tablet/ Oral Tablet,Oral,1.000mg,224924,burinex 1mg tablets,burinex 1mg tablets (leo pharma),bumetanide,1
172841000033115,Tablet/ Oral Tablet,Oral,5.000mg,10660,burinex 5mg tablets,burinex 5mg tablets (leo pharma),bumetanide,1
172941000033111,Modified-release tablet,Oral,500.000microgram + 573.000mg,750737,burinex k modified-release tablets,burinex k modified-release tablets (leo pharma),bumetanide/ potassium chloride,1
