prodcodeid,formulation,routeofadministration,substancestrength,drugissues,productname,termfromemis,drugsubstancename,drug_statin
10618641000033118,Oral suspension,Oral,1.000mg/1.000ml,71,pravastatin 5mg/5ml oral suspension,pravastatin 5mg/5ml oral suspension,pravastatin sodium,1
11241741000033119,Tablet/ Oral Tablet,Oral,145.000mg + 20.000mg,170,fenofibrate 145mg / simvastatin 20mg tablets,fenofibrate 145mg / simvastatin 20mg tablets,fenofibrate/ simvastatin,1
11241841000033112,Tablet/ Oral Tablet,Oral,145.000mg + 40.000mg,89,fenofibrate 145mg / simvastatin 40mg tablets,fenofibrate 145mg / simvastatin 40mg tablets,fenofibrate/ simvastatin,1
11241941000033116,Tablet/ Oral Tablet,Oral,145.000mg + 20.000mg,7,cholib 145mg/20mg tablets,cholib 145mg/20mg tablets (viatris uk healthcare ltd),fenofibrate/ simvastatin,1
1130141000033111,Tablet/ Oral Tablet,Oral,10.000mg,3680452,pravastatin 10mg tablets,pravastatin 10mg tablets,pravastatin sodium,1
1130241000033116,Tablet/ Oral Tablet,Oral,20.000mg,5473194,pravastatin 20mg tablets,pravastatin 20mg tablets,pravastatin sodium,1
1136541000033116,Tablet/ Oral Tablet,Oral,40.000mg,8212606,pravastatin 40mg tablets,pravastatin 40mg tablets,pravastatin sodium,1
1336841000033110,Tablet/ Oral Tablet,Oral,10.000mg,17299508,simvastatin 10mg tablets,simvastatin 10mg tablets,simvastatin,1
1336941000033119,Tablet/ Oral Tablet,Oral,20.000mg,61714705,simvastatin 20mg tablets,simvastatin 20mg tablets,simvastatin,1
1337541000033111,Tablet/ Oral Tablet,Oral,40.000mg,100886185,simvastatin 40mg tablets,simvastatin 40mg tablets,simvastatin,1
13860741000033115,Capsule/ Oral capsule,Oral,5.000mg,2958,rosuvastatin 5mg capsules,rosuvastatin 5mg capsules,rosuvastatin calcium,1
13860841000033113,Capsule/ Oral capsule,Oral,10.000mg,2830,rosuvastatin 10mg capsules,rosuvastatin 10mg capsules,rosuvastatin calcium,1
13860941000033117,Capsule/ Oral capsule,Oral,20.000mg,2298,rosuvastatin 20mg capsules,rosuvastatin 20mg capsules,rosuvastatin calcium,1
13861041000033110,Capsule/ Oral capsule,Oral,40.000mg,725,rosuvastatin 40mg capsules,rosuvastatin 40mg capsules,rosuvastatin calcium,1
14021741000033118,Oral suspension,Oral,4.000mg/1.000ml,1838,atorvastatin 20mg/5ml oral suspension sugar free,atorvastatin 20mg/5ml oral suspension sugar free,atorvastatin calcium trihydrate,1
14079441000033111,Tablet/ Oral Tablet,Oral,15.000mg,927,rosuvastatin 15mg tablets,rosuvastatin 15mg tablets,rosuvastatin calcium,1
14079541000033112,Tablet/ Oral Tablet,Oral,30.000mg,438,rosuvastatin 30mg tablets,rosuvastatin 30mg tablets,rosuvastatin calcium,1
1562241000033118,Tablet/ Oral Tablet,Oral,40.000mg,39902,zocor 40mg tablets,zocor 40mg tablets (organon pharma (uk) ltd),simvastatin,1
1562841000033119,Tablet/ Oral Tablet,Oral,10.000mg,346408,zocor 10mg tablets,zocor 10mg tablets (organon pharma (uk) ltd),simvastatin,1
1562941000033110,Tablet/ Oral Tablet,Oral,20.000mg,163646,zocor 20mg tablets,zocor 20mg tablets (organon pharma (uk) ltd),simvastatin,1
2066241000033118,Tablet/ Oral Tablet,Oral,80.000mg,2172811,simvastatin 80mg tablets,simvastatin 80mg tablets,simvastatin,1
2066341000033111,Tablet/ Oral Tablet,Oral,80.000mg,2934,zocor 80mg tablets,zocor 80mg tablets (organon pharma (uk) ltd),simvastatin,1
2189041000033110,Modified-release tablet,Oral,80.000mg,295343,fluvastatin 80mg modified-release tablets,fluvastatin 80mg modified-release tablets,fluvastatin sodium,1
2189141000033114,Modified-release tablet,Oral,80.000mg,8965,lescol xl 80mg tablets,lescol xl 80mg tablets (novartis pharmaceuticals uk ltd),fluvastatin sodium,1
2261041000033114,Tablet/ Oral Tablet,Oral,80.000mg,19462200,atorvastatin 80mg tablets,atorvastatin 80mg tablets,atorvastatin calcium trihydrate,1
2261141000033113,Tablet/ Oral Tablet,Oral,80.000mg,29130,lipitor 80mg tablets,lipitor 80mg tablets (viatris uk healthcare ltd),atorvastatin calcium trihydrate,1
2891541000033111,Tablet/ Oral Tablet,Oral,10.000mg,6011035,rosuvastatin 10mg tablets,rosuvastatin 10mg tablets,rosuvastatin calcium,1
2891641000033112,Tablet/ Oral Tablet,Oral,20.000mg,2645385,rosuvastatin 20mg tablets,rosuvastatin 20mg tablets,rosuvastatin calcium,1
2891741000033115,Tablet/ Oral Tablet,Oral,40.000mg,584640,rosuvastatin 40mg tablets,rosuvastatin 40mg tablets,rosuvastatin calcium,1
2891841000033113,Tablet/ Oral Tablet,Oral,10.000mg,134772,crestor 10mg tablets,crestor 10mg tablets (astrazeneca uk ltd),rosuvastatin calcium,1
2891941000033117,Tablet/ Oral Tablet,Oral,20.000mg,29723,crestor 20mg tablets,crestor 20mg tablets (astrazeneca uk ltd),rosuvastatin calcium,1
2892041000033111,Tablet/ Oral Tablet,Oral,40.000mg,4788,crestor 40mg tablets,crestor 40mg tablets (astrazeneca uk ltd),rosuvastatin calcium,1
2973941000033116,Tablet/ Oral Tablet,Oral,10.000mg,129316,simvador 10mg tablets,simvador 10mg tablets (dexcel-pharma ltd),simvastatin,1
2974041000033119,Tablet/ Oral Tablet,Oral,20.000mg,713154,simvador 20mg tablets,simvador 20mg tablets (dexcel-pharma ltd),simvastatin,1
2974141000033115,Tablet/ Oral Tablet,Oral,40.000mg,1432263,simvador 40mg tablets,simvador 40mg tablets (dexcel-pharma ltd),simvastatin,1
3140841000033113,Tablet/ Oral Tablet,Oral,10.000mg,3,ranzolont 10mg tablets,ranzolont 10mg tablets (ranbaxy (uk) ltd),simvastatin,1
3140941000033117,Tablet/ Oral Tablet,Oral,20.000mg,9,ranzolont 20mg tablets,ranzolont 20mg tablets (ranbaxy (uk) ltd),simvastatin,1
3141041000033110,Tablet/ Oral Tablet,Oral,40.000mg,32,ranzolont 40mg tablets,ranzolont 40mg tablets (ranbaxy (uk) ltd),simvastatin,1
3292441000033116,Tablet/ Oral Tablet,Oral,10.000mg + 20.000mg,99468,simvastatin 20mg / ezetimibe 10mg tablets,simvastatin 20mg / ezetimibe 10mg tablets,ezetimibe/ simvastatin,1
3292541000033115,Tablet/ Oral Tablet,Oral,10.000mg + 40.000mg,238774,simvastatin 40mg / ezetimibe 10mg tablets,simvastatin 40mg / ezetimibe 10mg tablets,ezetimibe/ simvastatin,1
